b_dist,mean,q25,q75,grid_size,industry
0.05,0.9885766733419447,0.9908553125731342,0.9987560530457096,10,Natural Gas
0.1,0.9781672033445382,0.9601250107073407,0.995383221743571,10,Natural Gas
0.2,0.973201934571117,0.9539758116711154,0.9899901287921695,10,Natural Gas
0.5,0.9491571088254144,0.9357484732780805,0.9677723967269127,10,Natural Gas
1.0,0.8973841524154178,0.8643475586066924,0.9231830925962243,10,Natural Gas
2.0,0.8011205159387641,0.7812437245006232,0.8199287894785382,10,Natural Gas
5.0,0.5356778555021111,0.5018066412257447,0.5697390493109338,10,Natural Gas
10.0,0.14219395103457808,0.11238472394674115,0.17296033864776494,10,Natural Gas
20.0,0.033477510774016776,0.02380258800084225,0.045161352411976934,10,Natural Gas
50.0,0.025159466124846517,0.019895180844197065,0.03101098270031511,10,Natural Gas
100.0,0.010609232479435618,0.006473559430427218,0.013716658348309985,10,Natural Gas
200.0,0.005882017363436225,0.0022763690766407487,0.00603793471240795,10,Natural Gas
500.0,0.003888912589285484,0.0013087815462155612,0.005328245928276078,10,Natural Gas
1000.0,0.0013803588819604811,0.00020721326504277918,0.0017958456687116246,10,Natural Gas
2000.0,0.00025148474968046273,0.0,1.536873231797855e-05,10,Natural Gas
5000.0,0.0,0.0,0.0,10,Natural Gas
0.05,0.9999628413117381,0.9999218420305196,1.0,100,Natural Gas
0.1,0.9997822887834953,0.9996771459282442,0.9999613929147192,100,Natural Gas
0.2,0.9995830774112451,0.9993684562543158,0.9998707323122797,100,Natural Gas
0.5,0.9994864556414291,0.9992087443207788,0.9997931994288496,100,Natural Gas
1.0,0.9992163968865224,0.9989625511708777,0.9995843775463842,100,Natural Gas
2.0,0.9973834712320879,0.9964800692871563,0.9981158565130329,100,Natural Gas
5.0,0.9856598763021903,0.9820112886892067,0.9902121517505982,100,Natural Gas
10.0,0.9726804397669752,0.9667308571709805,0.9786018351797579,100,Natural Gas
20.0,0.9530939530228913,0.9467116329424906,0.9607349786187438,100,Natural Gas
50.0,0.8018389178186804,0.7760953948683702,0.826674307996037,100,Natural Gas
100.0,0.41988240395123383,0.3799922325506811,0.44665808340496155,100,Natural Gas
200.0,0.2313404288580207,0.20755781532406326,0.24874148935932197,100,Natural Gas
500.0,0.1631904912946801,0.1434852708777027,0.18279161492240947,100,Natural Gas
1000.0,0.06986601596289205,0.05254899210901459,0.08598265088431974,100,Natural Gas
2000.0,0.012282363257799687,0.0034281485427682433,0.018143211967292214,100,Natural Gas
5000.0,0.0,0.0,0.0,100,Natural Gas
0.05,0.9999967626546203,0.9999892088487345,1.0,10,Oil Refineries
0.1,0.9978786418801864,0.9944838089291076,0.9999895959042222,10,Oil Refineries
0.2,0.9853761469127347,0.9786062245954457,0.9987850463627757,10,Oil Refineries
0.5,0.942210093727213,0.9288565032245633,0.9598142942078062,10,Oil Refineries
1.0,0.9117634977575536,0.8880934773532587,0.9392556058318879,10,Oil Refineries
2.0,0.7807315982391573,0.7547178126495309,0.8089083115225385,10,Oil Refineries
5.0,0.5016882679684386,0.4429147400002065,0.5642500849469928,10,Oil Refineries
10.0,0.10815368220643759,0.08230319951563941,0.1300304238969739,10,Oil Refineries
20.0,0.05170331885197653,0.01528061983359568,0.07428401522299079,10,Oil Refineries
50.0,0.011771111791110242,0.0,0.011068755455853441,10,Oil Refineries
100.0,0.0008157865054524515,0.0,1.7247327274338505e-05,10,Oil Refineries
200.0,0.0019401173120560731,0.0,4.109890795647878e-05,10,Oil Refineries
500.0,0.0002705513563669531,0.0,0.0,10,Oil Refineries
1000.0,0.000673084522217603,0.0,0.0,10,Oil Refineries
2000.0,0.00015947345339182797,0.0,0.0,10,Oil Refineries
5000.0,0.0,0.0,0.0,10,Oil Refineries
0.05,0.9999999999999998,0.9999999999999998,0.9999999999999998,100,Oil Refineries
0.1,0.9999429076787164,0.9999999999999998,0.9999999999999998,100,Oil Refineries
0.2,0.999810945050844,0.999714538393583,0.9999999999999998,100,Oil Refineries
0.5,0.9966928757227597,0.9960965573792149,0.9997439066041058,100,Oil Refineries
1.0,0.99443305082034,0.9922984728999846,0.9969846495374781,100,Oil Refineries
2.0,0.9924687705527814,0.9882702365811094,0.9965106684305282,100,Oil Refineries
5.0,0.9763851178333101,0.9639658964090201,0.9898764986351116,100,Oil Refineries
10.0,0.9419865713204836,0.9291273327659577,0.9543486660584531,100,Oil Refineries
20.0,0.9026499615185574,0.8776894816067958,0.9377393701521178,100,Oil Refineries
50.0,0.7158553614681581,0.6516692617168736,0.7851165689880224,100,Oil Refineries
100.0,0.29688336365725976,0.2189367227133954,0.3583054194922202,100,Oil Refineries
200.0,0.06410685793705216,0.036773620202923726,0.08993471264710623,100,Oil Refineries
500.0,0.03405956120591477,0.01834067056485162,0.04386089200502569,100,Oil Refineries
1000.0,0.019544455979838418,0.011437871520231102,0.025400238880705674,100,Oil Refineries
2000.0,0.006875839736264155,0.00033229496259909474,0.008628830475637518,100,Oil Refineries
5000.0,0.0,0.0,0.0,100,Oil Refineries
